,Unnamed: 0,date,temperature,relative_humidity,weather_code,Visibility
0,0,2024-07-09 22:00:00+00:00,23.7455,64.0,1.0,Serene
1,1,2024-07-09 23:00:00+00:00,23.0455,67.0,0.0,Serene
2,2,2024-07-10 00:00:00+00:00,22.3955,71.0,2.0,Serene
3,3,2024-07-10 01:00:00+00:00,21.9955,74.0,2.0,Serene
4,4,2024-07-10 02:00:00+00:00,21.6955,76.0,0.0,Serene
5,5,2024-07-10 03:00:00+00:00,21.7955,76.0,0.0,Serene
6,6,2024-07-10 04:00:00+00:00,21.9455,76.0,3.0,Cloudy
7,7,2024-07-10 05:00:00+00:00,22.9455,73.0,2.0,Serene
8,8,2024-07-10 06:00:00+00:00,24.7955,67.0,2.0,Serene
9,9,2024-07-10 07:00:00+00:00,26.7455,63.0,3.0,Cloudy
10,10,2024-07-10 08:00:00+00:00,28.2955,60.0,2.0,Serene
11,11,2024-07-10 09:00:00+00:00,29.7455,57.0,3.0,Cloudy
12,12,2024-07-10 10:00:00+00:00,29.9455,52.0,80.0,Rain
13,13,2024-07-10 11:00:00+00:00,23.7955,78.0,95.0,Rain
14,14,2024-07-10 12:00:00+00:00,24.1455,75.0,95.0,Rain
15,15,2024-07-10 13:00:00+00:00,26.5455,63.0,3.0,Cloudy
16,16,2024-07-10 14:00:00+00:00,28.2955,55.0,3.0,Cloudy
17,17,2024-07-10 15:00:00+00:00,27.8955,55.0,3.0,Cloudy
18,18,2024-07-10 16:00:00+00:00,27.2955,58.0,3.0,Cloudy
19,19,2024-07-10 17:00:00+00:00,26.5455,57.0,3.0,Cloudy
20,20,2024-07-10 18:00:00+00:00,25.6955,60.0,3.0,Cloudy
21,21,2024-07-10 19:00:00+00:00,24.6455,66.0,3.0,Cloudy
22,22,2024-07-10 20:00:00+00:00,23.845499,71.0,3.0,Cloudy
23,23,2024-07-10 21:00:00+00:00,23.2455,75.0,3.0,Cloudy
24,24,2024-07-10 22:00:00+00:00,22.6955,78.0,3.0,Cloudy
25,25,2024-07-10 23:00:00+00:00,22.095499,82.0,3.0,Cloudy
26,26,2024-07-11 00:00:00+00:00,21.6955,84.0,3.0,Cloudy
27,27,2024-07-11 01:00:00+00:00,21.2955,85.0,3.0,Cloudy
28,28,2024-07-11 02:00:00+00:00,20.845499,90.0,3.0,Cloudy
29,29,2024-07-11 03:00:00+00:00,20.5455,93.0,3.0,Cloudy
30,30,2024-07-11 04:00:00+00:00,20.4955,94.0,3.0,Cloudy
31,31,2024-07-11 05:00:00+00:00,20.845499,93.0,61.0,Rain
32,32,2024-07-11 06:00:00+00:00,21.095499,92.0,61.0,Rain
33,33,2024-07-11 07:00:00+00:00,20.595499,90.0,61.0,Rain
34,34,2024-07-11 08:00:00+00:00,20.4455,91.0,63.0,Rain
35,35,2024-07-11 09:00:00+00:00,21.4455,85.0,61.0,Rain
36,36,2024-07-11 10:00:00+00:00,21.8955,80.0,3.0,Cloudy
37,37,2024-07-11 11:00:00+00:00,23.4955,70.0,3.0,Cloudy
38,38,2024-07-11 12:00:00+00:00,24.3955,65.0,3.0,Cloudy
39,39,2024-07-11 13:00:00+00:00,22.9955,75.0,81.0,Rain
40,40,2024-07-11 14:00:00+00:00,24.2455,67.0,2.0,Serene
41,41,2024-07-11 15:00:00+00:00,24.6955,64.0,2.0,Serene
42,42,2024-07-11 16:00:00+00:00,24.3955,61.0,3.0,Cloudy
43,43,2024-07-11 17:00:00+00:00,24.0455,60.0,3.0,Cloudy
